AppID,Game Name,Copies,Owners
271590,Grand Theft Auto V Legacy,3,"Skalin, P3ngu0, Ogidor"
278360,A Story About My Uncle,1,Skalin
278890,Angvik,1,Skalin
280160,Aragami,1,Skalin
282800,100% Orange Juice,1,Skalin
283270,Jagged Alliance Gold,1,Skalin
286690,Metro 2033 Redux,1,Skalin
289050,Shannon Tweed's Attack Of The Groupies,1,Skalin
289130,ENDLESS™ Legend,1,Skalin
297130,Titan Souls,1,Skalin
299460,Woodle Tree Adventures,1,Skalin
300380,Road Redemption,1,Skalin
302190,Amerzone: The Explorer’s Legacy (1999),1,Skalin
304050,Trove,2,"Skalin, Ogidor"
304390,For Honor,1,Skalin
304930,Unturned,1,Skalin
305490,Heileen 3: New Horizons,1,Skalin
307580,Technobabylon,1,Skalin
308600,Skillshot City,1,Skalin
310510,Deathtrap,1,Skalin
312050,Red Johnson's Chronicles - 1+2 - Steam Special Edition,1,Skalin
314830,Blackguards 2,1,Skalin
316260,Disney Universe,1,Skalin
319850,Bridge Constructor Medieval,1,Skalin
321270,UNLOVED,1,Skalin
322170,Geometry Dash,1,Skalin
322330,Don't Starve Together,1,Skalin
323190,Frostpunk,1,Skalin
324110,Moto Racer Collection,1,Skalin
329380,Stealth Inc 2,1,Skalin
332480,Phoenix Force,1,Skalin
336130,Shardlight,1,Skalin
336140,Unavowed,1,Skalin
339800,HuniePop,2,"Skalin, P3ngu0"
343860,Tacoma,1,Skalin
344740,CRYPTARK,1,Skalin
346010,Besiege,1,Skalin
346110,ARK: Survival Evolved,1,Skalin
346560,Hero of the Kingdom II,1,Skalin
359550,Tom Clancy's Rainbow Six® Siege X,1,Skalin
360030,XLarn,1,Skalin
361360,Goosebumps,1,Skalin
